aligned_residues,backbone_angle_rmse_deg,base_planarity_rms,c1_distance_rmsd,c1_kabsch_rmsd,c1_lddt,clash_penetration_rms,covalent_bond_rmse,length,method,o3_p_bond_rmse,pred_c1_count,ref_c1_count,sugar_closure_rmse,target_id
23,18.616451263427734,0.5488554239273071,18.822837829589844,18.06022834777832,25.635593220338983,0.13102051615715027,0.24661636352539062,23,RhoFold+,0.14627429842948914,23,23,0.203492671251297,8q4o_A
23,2.0223548412323,0.022298211231827736,17.60466957092285,17.03941535949707,25.847457627118644,0.018478281795978546,0.01709536276757717,23,trRosettaRNA,0.01569344848394394,23,23,0.00850572157651186,8q4o_A
23,1.405492901802063,0.003819021862000227,3.6632630825042725,10.840316772460938,42.16101694915254,1.5100131034851074,0.027791783213615417,23,Ours,0.0003051365492865443,23,23,0.02146429568529129,8q4o_A
23,1.0060683488845825,0.0028059615287929773,10.99308967590332,11.99073600769043,25.156250000000004,0.045016393065452576,0.01764555834233761,23,AF3,0.019150307402014732,23,23,0.011040791869163513,7ps8_A
23,3.8214948177337646,0.0027040578424930573,9.841019630432129,10.75654411315918,25.937500000000004,0.20252765715122223,0.017927737906575203,23,NuFold,0.0795140340924263,23,23,0.008193080313503742,7ps8_A
23,0.7584723234176636,0.000573420780710876,9.872251510620117,11.773207664489746,20.46875,0.08094238489866257,0.01981091871857643,23,RoseTTAFoldNA,0.3265332877635956,23,23,0.027790876105427742,7ps8_A
23,18.002971649169922,0.5779668688774109,17.72382926940918,17.69999885559082,21.25,0.12137512117624283,0.249552920460701,23,RhoFold+,0.1513257622718811,23,23,0.20031677186489105,7ps8_A
23,2.420126438140869,0.05016562342643738,2.173935890197754,10.198423385620117,54.0625,0.019577600061893463,0.019453367218375206,23,trRosettaRNA,0.02224084734916687,23,23,0.01531458180397749,7ps8_A
23,1.4806673526763916,0.003853418165817857,3.6280672550201416,9.263081550598145,43.125,1.3861294984817505,0.027741631492972374,23,Ours,0.00042231191764585674,23,23,0.022466281428933144,7ps8_A
24,2.01188325881958,0.012414935976266861,5.598049640655518,11.385046005249023,27.800000000000004,0.017288625240325928,0.020784299820661545,24,AF3,0.015417201444506645,24,24,0.00638727517798543,8tns_A
24,2.110732316970825,0.002733614994212985,6.130735397338867,11.025424003601074,28.599999999999998,0.08472158759832382,0.01751266047358513,24,NuFold,0.07028916478157043,24,24,0.008155596442520618,8tns_A
24,0.7535337209701538,0.0005594598478637636,11.201810836791992,12.242457389831543,17.4,0.07181935757398605,0.024560915306210518,24,RoseTTAFoldNA,0.2860106825828552,24,24,0.04565868526697159,8tns_A
24,16.778884887695312,0.5094314813613892,7.769196510314941,11.350627899169922,25.2,0.5191397666931152,0.2277282476425171,24,RhoFold+,0.5594643354415894,24,24,0.20451734960079193,8tns_A
24,2.040800094604492,0.015329132787883282,18.11713409423828,18.50273895263672,18.8,0.01578502170741558,0.01655370369553566,24,trRosettaRNA,0.014651208184659481,24,24,0.010524808429181576,8tns_A
24,1.738877534866333,0.003982964437454939,3.7609922885894775,11.563408851623535,38.0,1.437351107597351,0.02808811515569687,24,Ours,0.00043776765232905746,24,24,0.02208290435373783,8tns_A
