PDB ID,Asym. Chain ID,Auth. Chain ID,AF3 MONOMERS TM Score,AF3 MONOMERS INF_WC,AF3 MONOMERS INF_NWC,NU MONOMERS TM Score,NU MONOMERS INF_WC,NU MONOMERS INF_NWC,RF2NA MONOMERS TM Score,RF2NA MONOMERS INF_WC,RF2NA MONOMERS INF_NWC,RHO MONOMERS TM Score,RHO MONOMERS INF_WC,RHO MONOMERS INF_NWC,TRRNA MONOMERS TM Score,TRRNA MONOMERS INF_WC,TRRNA MONOMERS INF_NWC
8AXA,B,B,0.3765,0.8828025134636726,0.3779644730092272,0.24748,0.6804138174397717,0.0,0.17863,0.5291671958341271,0.0,0.27245,0.3535533905932738,0.0,0.20236,0.6166666666666666,0.0
8BGU,B,3,0.61837,0.9091675835657296,0.5345224838248488,0.73657,0.9192547197409876,0.2672612419124244,0.63219,0.8754128668236029,0.6172133998483676,0.65593,0.4014775342734831,0.0,0.65972,0.8292884288627292,0.5455447255899809
8BWT,A,A,0.22139,0.9534625892455924,-1.0,0.20829,0.8528028654224418,-1.0,0.21068,0.9045340337332908,-1.0,0.2271,0.4264014327112209,-1.0,0.30212,0.9534625892455924,-1.0
8CCS,N,Bb,0.76272,0.9325048082403138,0.7302967433402214,0.66779,0.9325048082403138,0.5163977794943222,0.73734,0.9271050693011064,0.7302967433402214,0.7428,0.5809475019311126,0.0,0.71527,0.872081599272381,0.4472135954999579
8CQ1,A,A,0.38329,1.0,-1.0,0.41767,0.9428090415820634,-1.0,0.4391,0.8819171036881969,-1.0,0.34059,0.5270462766947299,-1.0,0.46482,0.8498365855987975,-1.0
8DP3,C,R,0.44453,1.0,0.0,0.42475,0.9318911162960932,0.0,0.3052,0.843465326380289,0.0,0.31572,0.7947194142390263,0.0,0.78576,0.8583950752789521,0.0
8E30,B,J,0.84633,0.9733285267845752,0.8660254037844386,0.95393,0.9722222222222222,0.7071067811865476,0.98465,0.9722222222222222,0.8660254037844386,0.96534,0.6236095644623235,0.0,0.89871,0.8018753738744802,0.3333333333333333
8EVP,BC,EC,0.36043,0.7147173535897866,0.0,0.64772,0.6274950199005567,0.0,0.55068,0.6055300708194984,0.0,0.32412,0.1118033988749894,0.0,0.42372,0.6412364700532214,0.0
8EWB,DC,EC,0.46918,0.7354355067681901,0.0,0.6554,0.4287464628562721,0.0,0.56236,0.6454972243679028,0.0,0.35293,0.0,0.0,0.4471,0.5809475019311126,0.0
8EYU,B,A,0.30455,0.8593378488473195,-1.0,0.37208,0.647150228929434,0.0,0.37903,0.9230769230769232,0.0,0.36445,0.7337993857053428,0.0,0.57245,0.8770580193070292,0.1091089451179961
8F0N,B,A,0.27931,0.8894991799933214,0.0,0.36625,0.8451542547285166,0.0,0.34555,0.5400617248673217,0.0,0.3518,0.5455447255899809,0.0975900072948533,0.54923,0.7559289460184544,0.0
8F4O,A,A,0.52068,0.8581163303210332,0.5,0.53913,0.8207826816681233,0.4472135954999579,0.5161,0.872081599272381,0.6123724356957945,0.51018,0.5809475019311126,0.2041241452319315,0.50683,0.6201736729460423,0.1889822365046136
8FB3,A,A,0.3288,0.7216878364870323,0.0,0.59467,0.8333333333333334,0.4472135954999579,0.30529,0.9128709291752768,-1.0,0.53036,-1.0,0.0,0.53699,0.9128709291752768,0.1924500897298752
8FCS,A,A,0.6166,0.8387096774193549,-1.0,0.63011,0.8824975032927699,-1.0,0.60796,0.9332565252573828,-1.0,0.69263,0.4751909633114914,-1.0,0.68775,0.806559132617443,-1.0
8FFY,C,C,0.51978,0.9128709291752768,0.0,0.5765,0.95,0.0,0.44408,0.872081599272381,0.0,0.61478,0.8366600265340756,0.0,0.53087,0.7905694150420949,0.0
8FLI,A,A,0.28165,0.71978158938785,0.1311651671567905,0.28442,0.3966061862526684,0.0,0.14297,0.1371758152921836,0.0,0.09776,0.0,0.0,,,
8FN6,A,g,0.58875,0.0,-1.0,0.48973,0.0,-1.0,0.51721,0.0,-1.0,0.43186,0.0,-1.0,0.37537,0.0,-1.0
8FW4,A,Z,0.84472,0.8264714394326627,0.4618802153517006,0.92845,0.860172051617206,0.4472135954999579,0.92828,0.7475128829686359,0.2696799449852968,0.72331,0.1904761904761904,0.1054092553389459,0.7388,0.6933752452815365,0.1348399724926484
8FYH,M,M,0.11625,-1.0,0.0,0.15918,-1.0,-1.0,0.15462,-1.0,-1.0,0.06838,-1.0,-1.0,0.15949,-1.0,-1.0
8FZA,A,A,0.24637,0.8819171036881969,0.0,0.29153,0.8451542547285166,0.4472135954999579,0.22107,0.7715167498104596,0.0,0.22442,0.6546536707079771,0.1825741858350553,0.48002,0.7142857142857143,0.3162277660168379
8G9Z,E,E,0.67768,1.0,0.816496580927726,0.61296,0.816496580927726,0.5163977794943222,0.80362,0.9534625892455924,0.816496580927726,0.6669,0.6513389472789296,0.2357022603955158,0.73038,0.8528028654224418,0.4714045207910317
8GHU,B,a,0.94848,0.6539033937900471,0.3474947767655318,0.18754,0.25489556962103,0.0,0.08701,0.0,0.0,,,,,,
8GXB,A,A,0.32774,0.8894991799933214,0.0,0.24845,0.8320502943378437,-1.0,0.33435,0.6864064729836441,0.0,0.25114,0.3922322702763681,0.0,0.51961,0.7526178090063818,0.2279211529192759
8HB8,A,A,0.26536,0.8461538461538461,0.1259881576697424,0.27131,0.6864064729836441,0.1490711984999859,0.21605,0.8153742483272113,0.0,0.26936,0.3202563076101742,0.0,0.63484,0.8006407690254357,0.1360827634879543
8HK1,A,H,0.23643,0.7841515268245524,-1.0,0.41342,0.6454972243679028,-1.0,0.34782,0.7826237921249264,-1.0,0.40311,0.5020790110464023,-1.0,0.26636,0.659380473395787,-1.0
8HUJ,C,C,0.42774,0.7472647177570733,0.3535533905932738,0.37304,0.6614378277661477,-1.0,0.30042,0.8333333333333334,0.0,0.51922,0.25,0.0,0.42138,0.5773502691896257,0.1336306209562122
8HZD,A,A,0.29101,0.8017837257372732,0.2672612419124244,0.30109,0.7559289460184544,0.2672612419124244,0.32508,0.769800358919501,0.3779644730092272,0.28487,0.816496580927726,0.3779644730092272,0.2621,0.8249579113843054,0.2182178902359923
8HZL,A,A,0.21139,0.3973597071195131,0.0953462589245592,0.21104,0.435285750066007,0.2132007163556104,0.20589,0.4005009394574071,0.1066003581778052,0.22026,0.5619514869490163,0.0,0.21337,0.429197537639476,0.1230914909793327
8I43,A,A,0.18867,0.8571428571428571,-1.0,0.19239,0.7715167498104596,-1.0,0.21827,0.6761234037828132,0.0,0.18905,0.4364357804719847,0.0,0.17014,0.7715167498104596,-1.0
8I44,A,A,0.19495,0.8571428571428571,-1.0,0.18959,0.8451542547285166,-1.0,0.16811,0.8017837257372731,-1.0,0.17187,0.3779644730092272,-1.0,0.19061,0.7715167498104596,-1.0
8I45,A,A,0.21716,1.0,0.0,0.18837,0.8571428571428571,-1.0,0.21111,0.8451542547285166,-1.0,0.13653,0.7559289460184544,0.0,0.19212,0.9354143466934852,-1.0
8I46,A,A,0.18234,1.0,-1.0,0.21289,0.7559289460184544,-1.0,0.18288,0.6761234037828132,-1.0,0.15552,0.7559289460184544,-1.0,0.20677,0.9258200997725514,-1.0
8IBZ,B,E,0.30983,0.8273960227720374,0.0,0.29232,0.7932174353745227,0.0,0.30364,0.6153953888304962,0.0,0.20174,0.346551640041836,0.0,0.2129,0.6863515362935738,0.0
8ITS,A,A,0.27525,0.9682458365518544,0.7071067811865476,0.26979,0.8970852271450604,0.2886751345948128,0.3042,0.8970852271450604,-1.0,0.23365,0.6324555320336759,0.408248290463863,0.23106,0.7784989441615229,0.3651483716701107
8JHP,A,A,0.16802,0.5590169943749475,-1.0,0.15038,0.7071067811865476,0.0,0.17362,0.375,-1.0,0.17368,0.6123724356957945,0.0,0.20725,-1.0,-1.0
8JY0,B,B,0.23053,0.8295150620062532,0.0,0.26911,0.7237468644557459,0.0,0.31472,0.7888106377466155,-1.0,0.30276,0.7237468644557459,0.0,0.21943,0.6579516949597689,0.0
8K0S,A,A,0.50395,0.9423382285031188,0.5004004806408973,0.47864,0.6682794793455936,0.2344036154692477,0.29849,0.3550358012483632,0.0,0.41756,0.1714985851425088,0.0,0.26185,0.7801840702569264,0.0506369683541833
8K15,A,C,0.52176,0.9248337695449144,0.5883484054145521,0.3776,0.6844282988337541,0.1277753129999879,0.21304,0.1930948154544974,0.0,0.12793,0.0,0.0,0.2312,0.7491147083709694,0.0935219529582824
8K8B,A,A,0.26914,1.0,-1.0,0.16674,0.9258200997725514,-1.0,0.2025,0.8571428571428571,-1.0,0.1456,0.8451542547285166,-1.0,0.19968,0.9258200997725514,0.0
8OPT,B,D,0.24076,0.4618802153517006,-1.0,0.19918,0.5163977794943222,-1.0,0.22093,0.4780914437337574,-1.0,0.20256,0.3162277660168379,-1.0,0.21173,0.4780914437337574,-1.0
8Q4O,A,A,0.13914,-1.0,-1.0,0.14429,-1.0,0.0,0.12267,-1.0,0.0,0.13046,-1.0,-1.0,0.13194,-1.0,-1.0
8Q6N,A,A,0.35891,0.8346223261119858,0.5,0.53459,0.8823529411764706,0.5,0.34023,0.8072073527955751,0.3535533905932738,0.40428,0.4200840252084029,0.2886751345948128,0.45352,0.9393364366277244,0.0
8QU1,B,B,0.30734,0.9233805168766388,0.2182178902359923,0.81192,0.9176629354822472,0.3779644730092272,0.92552,0.9192547197409876,0.5714285714285714,0.5916,0.6882472016116853,0.1889822365046136,0.68038,0.7284927963857741,0.0
8S95,A,C,0.57784,0.9534625892455924,0.6681531047810609,0.53064,0.8340576562282991,0.1767766952966369,0.46479,0.7904839434579711,0.25,0.53601,0.6192562158505679,0.1336306209562122,0.69446,0.9282791216329142,0.2886751345948128
8SCH,A,A,0.29898,0.8780541105074453,-1.0,0.28289,0.7995026863335392,-1.0,0.32142,0.889108448948774,-1.0,0.30767,0.5276448530110863,-1.0,0.30122,0.8314971796756814,-1.0
8SH5,C,R,0.30344,0.6672976811635084,0.0,0.36365,0.6063390625908325,0.0,0.33477,0.7462025072446365,0.0,0.3409,0.4216370213557839,0.0,0.59315,0.7817359599705717,0.0
8T2B,A,R,0.44162,0.8572508572512859,0.0,0.33438,0.6692464559925295,0.0,0.29122,0.5878963512522154,0.0,0.3335,0.5977625776640615,0.0,0.33487,0.810140446727799,0.0
8T2P,A,A,0.24916,0.7472978698485586,0.2581988897471611,0.285,0.7693164667982588,0.0,0.26685,0.7138235135406812,0.0,0.26072,0.2667325346846322,0.0,0.26754,0.6480867279083056,0.0
8T2P,B,B,0.50399,0.9147362593897894,0.0,0.39919,0.7222222222222222,0.0,0.43648,0.8168717229557563,0.0,0.36981,0.4583333333333333,0.0,0.34706,0.6819309069874763,0.0
8THV,A,A,0.31069,0.9090909090909092,0.0,0.31384,0.7977240352174656,-1.0,0.18677,0.9045340337332908,-1.0,0.19592,0.7385489458759964,0.0,0.32416,0.9090909090909092,-1.0
8TJQ,A,N,0.27948,0.7024393586862705,0.1324532357065043,0.34935,0.5929435725265105,0.0,0.38479,0.625771834629858,0.1986798535597565,0.31444,0.305887645160749,0.0,0.36539,0.6515837655350016,0.0662266178532521
8TNS,A,A,0.09247,-1.0,-1.0,0.13427,-1.0,0.0,0.06852,-1.0,-1.0,0.08959,-1.0,0.0,0.1237,-1.0,-1.0
8U3M,A,A,0.18622,0.5853694070049635,-1.0,0.2029,0.6201736729460423,-1.0,0.22583,0.4385290096535146,-1.0,0.2027,0.2773500981126146,-1.0,0.19594,0.4385290096535146,-1.0
8U5J,A,A,0.32861,0.9354143466934852,0.0,0.29872,1.0,0.3086066999241838,0.51113,1.0,0.6614378277661477,0.34246,0.5669467095138409,0.4780914437337574,0.24556,0.8571428571428571,0.3273268353539885
8U5R,A,A,0.32136,0.9258200997725514,0.1825741858350553,0.30557,1.0,0.0,0.3536,0.816496580927726,0.2581988897471611,0.47449,1.0,0.5477225575051662,0.37787,0.816496580927726,0.0975900072948533
8U60,A,A,0.323,1.0,0.1825741858350553,0.25593,0.9258200997725514,0.0,0.65954,1.0,0.5855400437691199,0.48242,0.9128709291752768,0.5477225575051662,0.44092,0.9128709291752768,0.0975900072948533
8UO6,A,A,0.55047,0.9486832980505138,0.7715167498104596,0.55555,0.9451120118672948,0.7715167498104596,0.50927,0.870571500132014,0.2672612419124244,0.53017,0.5973191135873606,0.0,0.55983,0.8720983634634086,0.6681531047810609
8UPT,A,A,0.64465,0.8660254037844386,0.4472135954999579,0.60572,0.8660254037844386,0.4472135954999579,0.38041,0.7378647873726218,0.0,0.5007,0.5685352436149611,0.2581988897471611,0.53443,0.7431605356175383,0.1690308509457033
8UTA,A,N,0.45708,0.965581028730576,0.2236067977499789,0.39756,0.7899531467283196,0.0,0.30565,0.6749655638598864,0.0,0.33368,0.5017452060042544,-1.0,0.30644,0.8690481892534817,0.0
8UTG,A,A,0.09064,0.0,-1.0,0.18248,-1.0,-1.0,0.13768,-1.0,-1.0,0.11371,-1.0,-1.0,0.13671,-1.0,0.0
8V1H,A,A,0.58754,1.0,0.7071067811865476,0.56943,0.983192080250175,0.5773502691896257,0.49708,0.8944271909999159,0.5773502691896257,0.57355,0.6324555320336759,0.5,0.51118,0.8563488385776752,0.3779644730092272
8VM9,A,R,0.59659,0.9860132971832694,0.0,0.45685,0.913346259032624,0.0,0.26516,0.927960727138337,-1.0,0.53646,0.6666666666666666,0.0,0.17258,-1.0,0.0
8VPV,A,A,0.39531,0.6985006985010478,0.0,0.63913,0.6534102628035482,-1.0,0.27634,0.6024144966768742,0.0,0.79631,0.5760184328847832,0.0,0.51151,0.861356769214109,0.0
8VS9,GB,TMRN,0.41717,0.6583926599589269,0.0,0.39841,0.5382802504095074,0.0,0.24194,0.4856667951098117,0.0,0.28183,0.2401200900750656,0.0,0.25765,0.5948179165159316,0.0
8VT5,A,A,0.75941,1.0,0.5,0.48548,0.9335638713962128,0.5,0.40295,0.7223151185146152,0.5,0.55413,0.4728662437434603,0.0,0.51583,0.6621221919717306,0.2672612419124244
8WQ2,B,VTRF,0.10153,0.0,-1.0,0.09866,0.0,-1.0,0.102,-1.0,-1.0,0.13504,-1.0,-1.0,0.10353,-1.0,-1.0
8XZE,A,A,0.30719,0.970142500145332,0.4714045207910317,0.27667,0.8744746321952062,-1.0,0.35338,0.7882407813680822,0.0,0.27479,0.8744746321952062,0.0,0.34745,0.9095085938862486,-1.0
8YAM,A,A,0.34403,0.9258200997725514,0.5,0.37485,0.8451542547285166,0.1924500897298752,0.58279,0.8451542547285166,0.4714045207910317,0.43186,0.3779644730092272,0.1259881576697424,0.42074,0.6761234037828132,0.2981423969999719
9AUS,C,R,0.26776,1.0,-1.0,0.30807,0.8944271909999159,-1.0,0.21464,-1.0,-1.0,0.20273,-1.0,-1.0,0.17586,-1.0,-1.0
9BCI,A,A,0.57063,1.0,-1.0,0.41567,0.8432740427115678,-1.0,0.55302,0.95,-1.0,0.62673,0.3162277660168379,-1.0,0.30172,0.5976143046671968,-1.0
9BLM,A,A,0.44209,1.0,0.0,0.5278,0.916515138991168,0.0,0.44881,0.917463421851129,-1.0,0.56839,0.4949747468305833,0.0,0.31172,0.404145188432738,-1.0
9BUN,A,A,0.34275,0.8685990362153793,0.0,0.3391,0.82915619758885,0.0,0.28115,0.6666666666666666,0.0,0.31495,0.5590169943749475,0.0,0.33881,0.5669467095138409,0.0
9BZ1,A,A,0.6846,0.9534625892455924,0.816496580927726,0.68828,0.983192080250175,0.5773502691896257,0.64486,0.9315885051121782,0.816496580927726,0.59993,0.5773502691896257,0.0,0.52926,0.8784104611578831,0.5773502691896257
9C6I,A,A,0.93645,0.9612691930663656,0.7372097807744857,0.7684,0.8570043058283507,0.4540034830713325,0.67557,0.7783117824941563,0.1522773975253762,0.61347,0.3541666666666666,0.0,0.19565,0.7915472378215783,0.0835917318863029
9DTT,B,B,0.31225,0.7761140001162655,0.0,0.30766,0.7789808377045201,-1.0,0.35215,0.5009794328681196,0.0,0.30352,0.5368754921931593,0.0,0.30609,0.7233393492970543,0.0
9EOW,A,A,0.20546,1.0,0.0,0.19512,0.957427107756338,-1.0,0.23374,0.8528028654224418,-1.0,0.21284,0.4264014327112209,0.7071067811865476,0.19741,0.7627700713964739,0.0
9FO9,A,A,0.27463,0.9258200997725514,-1.0,0.26133,0.9166666666666666,-1.0,0.20549,0.8215838362577492,0.0,0.23549,0.7637626158259734,0.0,0.2844,0.8660254037844386,0.0
9G7C,A,A,0.22174,0.902511963929742,0.2834733547569204,0.244,0.7102263850734722,0.0,0.26116,0.6420877537090426,0.0,0.26267,0.4909731295457724,0.0,0.20398,0.7587334705507119,0.0
